seed_text(prime_text),generated _text,perplexity,
international,"international hotel rates now for bangkok #1 and save. book at kinzie hotel,",184.8369893,
hotel,hotel a jamaica & with expedia. best rates or refund + $50 coupon.,66.58431492,
deals,"deals in dubrovnik & spa, london. no reservation costs. great rates. best rates",44.71041936,
coupon,"coupon self tokyo city hotel, london. no reservation costs. great rates. best rates",86.12172254,
reservation,reservation reservation costs. great rates. save up to $570 on flight your hotel,39.47960961,
rates,"rates online. book at the abbeyleix spray hotel, marrakech. no reservation costs. great",106.7997456,
great,great costs. refund + $50 coupon. book your claremont hotel today! book at,103.5361261,
cost,cost lowest get expedia's price guarantee. in the find and save big! maya,137.9116792,
expedia,expedia great rates. book your hotel in ambleside. at choeng koya-san minas. book,94.18399438,
save,"save big on hotels in buckinghamshire. book at pantheon hotel, bath. no reservation",36.66566827,
no,"no refund costs. great rates. book at waikiki family, aviv book a hotel",78.78194033,
book,"book deals on hotels in chamberlain, turkey. book a expedia to interlaken, argentina.",29.74773518,
big,big refund your next trip with you book now! book a hotel in,43.05593209,
vietnam,"vietnam lowest aransas views today! book a hostel in covent platz, london. get",222.3308691,
canton mA,"canton mA in wokingham. hotels. hotel. expedia price guarantee. book your hotel in victorville,",71.97148962,
best prices,best prices guarantee! book a hotel near central university. save up to 50% on,49.95048045,
accommodation,"accommodation artsy windsor hotels, london. more choices, best prices, trusted. save big on",151.3212321,
carnegie mellon university,"carnegie mellon university hotels. golden atlantic club downtown, new diego. walk on things to do",668.7297498,
guarantee,"guarantee online. book at moncton atlas motel spa, billings. no reservation costs. great",85.4792605,
international,international conv. conv. art heat book your trip to lisbon city center. get,349.8347504,
hotel,"hotel price, capri. with expedia's price guarantee. book a hotel in troy. dhabi",69.16308509,
deals,"deals now. book your hotel in magog north, ia online. no reservation costs.",124.9668261,
coupon,"coupon at the & ymca, galway. book at al rga suites, dublin. no",87.92734367,
reservation,reservation book great rates. book hotels near hanmer beach best rates or refund,66.54429738,
rates,rates big! in hkg online. no reservation costs. great rates. book an day,99.4379996,
great,"great great rates. book at causeway hall inn, san angeles. no reservation costs.",52.51243178,
cost,"cost walk to heineken rarotonga, philadelphia. no reservation costs. great rates. book a",87.42213787,
expedia,expedia costs. great rates. save big on hotels in ventura with free back!,64.86097319,
save,save great rates. best rates on hotel river ryde. plan your next trip,97.55074572,
no,"no great refund great at michelangelo bliss, vallejo. no reservation costs. great rates.",54.14381292,
book,book pattaya cheap in seattle. best guarantees leisure qld best rates or refund,140.6193471,
big,big refund + $50 coupon. book your hotel in hambantota online. no reservation,124.7197508,
vietnam,vietnam best no reservation costs. great rates! book your trip to puerto south,60.41902773,
canton mA,"canton mA center hotels. book a hotel near district center, chicago. save big! to",97.1642827,
best prices,"best prices guarantee! book at the roger at alameda moon inclusive, ohare no reservation",248.6357186,
accommodation,"accommodation this picnic ks find save alcatraz, copenhagen colman hotel , mysore on",628.8803579,
carnegie mellon university,carnegie mellon university hotels. book a package to amway rooftop beach. book your hotel in,290.9616172,
guarantee,"guarantee great hotels in centennial. best rates on solmar atlantis sedona, funchal. best",68.69650819,
diria,"diria lowest booking. no hotels hotel. premier park paz, london. no reservation costs.",228.0913933,
"fusion,","fusion, great a hotel near anton mills today! book hotels near downtown qatar.",95.41508902,
regensburg,regensburg reservation costs. $50 great rates. save big! best the hotel new dublin.,86.54525608,
gravity-defying,gravity-defying lowest to heineken decameron place beach. no reservation costs. great rates. book,256.2371468,
miami-inspired,miami-inspired on city beach your the singapore canyon best hotels seaside victoria inn,486.8487986,
clover,clover london. save big on tours and sightseeing! book now on hotels in,116.1767547,
cuyahoga,cuyahoga spain. no reservation costs. +$50 great rates book your oakhurst hotel today!,105.4031576,
ballinasloe,"ballinasloe grassington reservation your strand hotel in the on walk spa, el helena.",206.4700314,
carlyon,"carlyon idabel, center hotels. book your honiara hotel trip best price guarantee. discounts",456.6522842,
lobo.,"lobo. from alpenhof mar, aires. no reservation costs. great rates. best rates or",103.6703237,
"pendini,","pendini, walk 1828. health nearby. book a cheap hotel in amsterdam online. no",198.0313491,
"agora,","agora, beach aranjuez, sydney. to kyoto island. best rates or refund + $50",82.92181016,
banknorth,"banknorth online. aranjuez, san jos. no reservation costs. great rates. book a motel",71.22108874,
aeroport.,"aeroport. your hotel & amsterdam lodge, las kong. no reservation costs. great rates.",79.29147543,
jesup,"jesup lowest killarney, heineken + rates or refund + $50 coupon. find hotels",272.0504538,
america.,america. marina hotel by georgia kyoto. save up to 50% on your reservation.,97.47901957,
bela-bela,bela-bela suite near new beach. price book your hotel in richmond now. save,133.9330681,
summerlin,"summerlin costs. your alpenhof or & hotel book at grand island resort, new",259.3137583,
motorpoint,"motorpoint oasis refund your expedia more expedia. riverside ii independence leblon, santa mumbai.",736.6291617,
,,,161.2112525
